csv,LINK,lang,attribution_url,attribution_name,license,file_name,download_from
touhyoujyo.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,touhyoujyo,http://linkdata.org/work/rdf1s2788i
cyugakkouseitosu.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,cyugakkouseitosu,
tohyozyokyo.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,270412nenreibetsutouhyouritsu,http://linkdata.org/work/rdf1s4445i
syougakkoujidosu.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,syougakkoujidosu,
kenkououendan.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,kenkououendan,http://linkdata.org/work/rdf1s1587i
0607toukeinenkan.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0607toukeinenkan,http://linkdata.org/work/rdf1s4791i
sangyoubetsushugyoushasu.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,sangyoubetsushugyoushasu,http://linkdata.org/work/rdf1s2634i
machibetsujumin.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0214machibetsu_juminkihondaichou,http://linkdata.org/work/rdf1s2654i
gisshapefile.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,gisshapefike,http://linkdata.org/work/rdf1s3121i
0216toukeinenkan.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0216gaikokujintourokushasu,http://linkdata.org/work/rdf1s2628i
kouikihinanjyocn.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,kouikihinanjyocn,http://linkdata.org/work/rdf1s1586i
nenreibetsu.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0213nenreibetsu_juminkihondaichou,http://linkdata.org/work/rdf1s2657i
0307toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0307toukeinenkan,
jugyouchi.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,jugyouchiniyorushugyoushasu,http://linkdata.org/work/rdf1s2639i
zaimukibonosuii.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,1201zaimukibonosuii,http://linkdata.org/work/rdf1s4368i
ippansyokuinsu.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,1209ippansyokuinsu,http://linkdata.org/work/rdf1s4373i
1103toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,koutsujiko,
echizenshimadoguchiannnai.csv,,ja,,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,echizenshimadoguchiannnai,http://linkdata.org/work/rdf1s1683i
cyokubaisyo.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,cyokubaisyo,http://linkdata.org/work/rdf1s1662i
0912toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0912toukeinenkan,
gyouseiku.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,gyouseiku,http://linkdata.org/work/rdf1s1583i
gikaikatsudou.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,1212gikaikatsudou,http://linkdata.org/work/rdf1s4376i
0528syugiinzyoukyo.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0528syugiinzyoukyo,
marasonmap.csv,,,,,,,
jinkounosuii_chouki.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0201jinkounosuii_chouki,http://linkdata.org/work/rdf1s2641i
koureikaritsu.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,koureikaritsu,http://linkdata.org/work/rdf1s1582i
shichoubetsujinkou.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0202shichoubetsujinkou,http://linkdata.org/work/rdf1s2635i
1102toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,1102toukeinenkan,
shigaihaisuisetsubi.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,shigaihaisuisetsubishiteikoujiten,http://linkdata.org/work/rdf1s1658i
iryoukikan.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,iryoukikan,http://linkdata.org/work/rdf1s1577i
kokuseityousaonrainkaitou.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/tokei/kokusei27.html,越前市情報統計課,,kokuseityousa,
tochiriyougenkyoumenseki.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0104tochiriyougenkyoumenseki,http://linkdata.org/work/rdf1s2656i
0814toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,814toukeinennkann,
