広域避難場所,火災が発生した場合や避難情報を発令し避難を促した場合に開設する広域避難場所一覧です。,,,防災安全課「越前市の防災」,2018.01.19
広域避難場所（ポルトガル語）,火災が発生した場合や避難情報を発令し避難を促した場合に開設する広域避難場所一覧（ポルトガル語）です。,,,防災安全課「越前市の防災」,2018.01.19
広域避難場所（中国語）,火災が発生した場合や避難情報を発令し避難を促した場合に開設する広域避難場所一覧（中国語）です。,,,防災安全課「越前市の防災」,2018.01.19
越前市窓口案内,越前市の各課の業務内容、連絡先の情報です。,,,「暮らしの便利帳」,2020.08.01
越前市各課、施設電話番号,越前市の各課、施設の電話番号一覧です。,,,「各課・施設」,2020.08.01
越前市の行政区,越前市の行政区の情報です。,,, ,"
        2013.09.30
      "
"
        市長選挙投票状況
      ",平成29年10月22日市長選挙の投票状況です。,,,行政管理課「越前市選挙管理委員会」,"
        2018.06.22
      "
市長選挙開票結果,平成29年10月22日市長選挙の開票結果です。,,,行政管理課「越前市選挙管理委員会」,"
        2018.06.22
      "
"
        衆議院議員通常選挙投票状況
      ",平成29年10月22日衆議院議員通常選挙の投票状況です。,,,行政管理課「越前市選挙管理委員会」,2018.06.22
"
        衆議院議員通常選挙開票結果
      ",平成29年10月22日衆議院議員通常選挙の開票結果です。,,,行政管理課「越前市選挙管理委員会」,2018.06.22
"
        衆議院比例代表選出議員選挙開票結果
      ",平成29年10月22日衆議院比例代表選出議員選挙の開票結果です。,,,行政管理課「越前市選挙管理委員会」,2018.06.22
"
        衆議院議員通常選挙における新有権者（18歳・19歳）の投票結果
      ",平成29年10月22日衆議院議員通常選挙における新有権者（18歳・19歳）の投票結果です。,,,行政管理課「越前市選挙管理委員会」,2018.06.22
参議院議員通常選挙投票所,平成28年7月10日第24回参議院議員通常選挙の投票所一覧です。, ,,行政管理課「越前市選挙管理委員会」,"
        2016.11.14
      "
参議院議員通常選挙投票状況,平成28年7月10日第24回参議院議員通常選挙の投票状況です。, ,,行政管理課「第24回参議院議員通常選挙 投票結果および開票結果（越前市開票区）」 ,"
        2016.11.14
      "
参議院比例代表選出議員選挙開票結果,平成28年7月10日参議院比例代表選出議員選挙の開票結果です。, ,,行政管理課「第24回参議院議員通常選挙 投票結果および開票結果（越前市開票区）」 ,"
        2016.11.14
      "
参議院議員選挙区選出議員選挙開票結果,平成28年7月10日参議院議員選挙区選出議員選挙の開票結果です。, ,,行政管理課「第24回参議院議員通常選挙 投票結果および開票結果（越前市開票区）」,"
        2016.11.14
      "
参議院議員通常選挙における新有権者（18歳・19歳）の投票結果,平成28年7月10日参議院議員通常選挙における新有権者（18歳・19歳）の投票結果です。,,,行政管理課「第24回参議院議員通常選挙 投票結果および開票結果（越前市開票区）」,"
        2016.11.17
      "
福井県知事選挙及び福井県議会議員選挙投票所,平成27年4月12日福井県知事選挙及び福井県議会議員選挙投票所一覧です。, ,,行政管理課「越前市選挙管理委員会」,2015.03.24
福井県知事選挙年齢別投票状況,平成27年4月12日福井県知事選挙及び福井県議会議員選挙の年齢別投票状況です。,,,行政管理課「平成27年4月12日福井県知事選挙・福井県議会議員選挙　投票状況 」,2016.05.24
越前市議会議員一般選挙投票状況,平成26年7月13日越前市議会議員一般選挙の投票状況です。, ,,行政管理課「平成26年7月13日越前市議会議員一般選挙投票状況」,2014.07.14
越前市議会議員一般選挙開票結果,平成26年7月13日越前市議会議員一般選挙の開票結果です。, ,,行政管理課「平成26年7月13日越前市議会議員一般選挙開票結果（最終）」,2014.07.14
越前市地区別高齢化率,越前市の各地区における人口に占める高齢者の割合の情報です。,,,長寿福祉課「高齢化の現状」,2018.06.22
介護保険料,令和2年度の介護保険料の保険料区分の情報です。,,,長寿福祉課「介護保険料」,2020.08.01
外出支援サービス事業者,外出支援サービス（車椅子利用者の移送サービス）事業者の情報です。,,,長寿福祉課「外出支援サービスについて」,2017.07.21
食事サービス事業者,食事サービス事業者の情報です。,,,長寿福祉課「食事サービス事業について」,2017.07.21
居宅介護支援事業者,居宅介護支援を行う事業者（介護保険サービス指定事業者）の情報です。,,,長寿福祉課「居宅介護支援事業者」,2020.08.01
労働者福祉施設,労働者福祉施設の情報です。,,,産業政策課「労働者福祉施設（研修施設）のご案内」,2018.07.27
市内のお医者さん,市内にある医療機関の情報です。, ,,健康増進課「子育て応援誌」,2020.8.1
市内AED設置施設,市内の公共施設等に設置されたAED（自動体外式除細動器）の情報です。,,,健康増進課「AED（自動体外式除細動器）設置について」,2020.8.1
健康応援団,「けんこう食メニューの店」「けんこう応援の店」「けんこうステーション」の３つからなる健康応援団の情報です。,,,健康増進課「健康応援団について」,2020.8.1
障がい者福祉施設,障がい者の福祉サービス事業所の情報です。, ,,社会福祉課「障がい者福祉サービス事業所一覧」,2017.06.12
多目的トイレ,市内の公共施設等にある多目的（車椅子・オスメイト対応）トイレの情報です。※利用対象が限定されているトイレは掲載していません。, ,,社会福祉課「障がい者福祉・社会参加のしおり」,2013.10.10
越前市の幼稚園,越前市の幼稚園一覧です。, ,,教育振興課「幼稚園一覧」,2017.12.12
越前市の保育園,越前市の保育園一覧です。, ,,子ども福祉課「認定こども園・保育園一覧」,2020.08.01
子育て支援施設,子育て支援施設の情報です。, ,,子ども福祉課「子育て応援誌」,2020.08.01
越前市観光情報,越前市内の観光情報（施設・グルメ等）です。,,,"
        観光交流推進室「観光案内に関すること」
      ",2020.8.1
越前市イベント情報,越前市内のイベント情報です。, ,,福井県「おでかけふくい」,"
        2020.07.31
      "
Ｈ30　桜回遊バス停留所,情報アプリ「えっつぶ」バラエティマップで公開した情報です。, , ,市情報アプリ「えっつぶ」マップ機能について,2018.11.19
H30 GW回遊バス停留所,情報アプリ「えっつぶ」バラエティマップで公開した情報です。, , ,市情報アプリ「えっつぶ」マップ機能について,2018.11.19
Ｈ30 国体マップ,情報アプリ「えっつぶ」バラエティマップで公開した情報です。, , ,市情報アプリ「えっつぶ」マップ機能について,2018.11.19
Ｈ30 菊花マラソンマップ,情報アプリ「えっつぶ」バラエティマップで公開した情報です。, , ,市情報アプリ「えっつぶ」マップ機能について,2018.11.19
越前市地産地消推進の店,越前市が認定している地産地消推進の店の情報です。,,,農政課「越前市の食育・地産地消の推進について」,2020.08.01
野菜の直売所,越前市内の野菜の直売所の情報です。,,,農政課「越前市の食育・地産地消の推進について」,2020.08.01
市営住宅一覧,越前市内の市営住宅の一覧です。,,,建築住宅課「市営住宅のご案内」,2020.08.01
越前市町別ごみ収集日,町内別の各ごみ収集日一覧です。,,,環境政策課「ごみの分け方・出し方」,2015.04.20
越前市町別ごみ収集日（ポルトガル語）,町内別の各ごみ収集日一覧（ポルトガル語）です。, ,,環境政策課「ごみの分け方・出し方」,2015.04.20
越前市50音別ごみ分別表,50音別で表記したごみ分別の情報です。, ,,環境政策課「ごみの分け方・出し方」,2021.01.04
越前市50音別ごみ分別表（ポルトガル語）,50音別で表記したごみ分別の情報（ポルトガル語）です。, ,,環境政策課「ごみの分け方・出し方」,2021.01.04
越前市50音別ごみ分別表（中国語）,50音別で表記したごみ分別の情報（中国語）です。, ,,環境政策課「ごみの分け方・出し方」,2021.01.04
歩行者・自転車道,越前市の歩行者・自転車道の情報です。, ,,都市整備課「道路の維持管理に関すること」,2014.08.15
越前市指定給水工事事業者,給水管の工事を行う、越前市指定給水装置工事事業者の情報です。,,,水道課「水道の修繕、給水管の新設・改造工事　指定給水装置工事事業者」,2020.08.01
越前市排水設備指定工事店（市内）,公共下水道への接続を行う、排水設備指定工事店（市内）の情報です。, ,,下水道課「下水道の排水設備工事は指定工事店で」,2020.08.01
越前市排水設備指定工事店（市外）,公共下水道への接続を行う、排水設備指定工事店（市外）の情報です。,,,下水道課「下水道の排水設備工事は指定工事店で」,2020.08.01
越前市の小学校,越前市の小学校一覧です。,,,教育振興課「市内　小・中学校のホームページはこちらから」,2014.07.29
越前市の小学校児童数,越前市の小学校の児童数（R2.6.1現在）の情報です。,,,教育振興課「越前市の小学校」,2020.06.01
越前市の中学校,越前市の中学校一覧です。,,,教育振興課「市内　小・中学校のホームページはこちらから」,2014.07.31
越前市の中学校生徒数,"
        越前市の中学校の生徒数 （R2.6.1現在）の情報です。
      ",,,教育振興課「越前市の中学校」,2020.06.01
越前市の形成,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2015.03.26
気象状況　越前市,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2015.03.26
地震観測（福井県全体）,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2018.03.30
地目別土地面積（総地積）,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2018.11.16
地目別土地面積（評価地積）,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2018.11.16
土地利用現況面積の推移,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2018.03.30
人口の推移（長期）,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,"
        2018.11.16
      "
市町別人口・世帯,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,"
        2018.11.16
      "
市町別年齢別人口,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2018.11.16
配偶関係（年齢・男女別15歳以上人口）,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2018.03.30
世帯の種類・人員別世帯数,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2018.03.30
人口集中地区,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2018.03.30
都市計画区域の人口,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2018.03.30
昼間人口,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2018.03.30
人口動態（総括）,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2018.03.30
人口動態（自然増減）,越前市統計年鑑の情報です。,,,情報政策課「越前市統計年鑑」,2018.03.30
人口動態（社会増減）,越前市統計年鑑の情報です。,,,情報政策課「越前市統計年鑑」,2018.03.30
市町別人口動態,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2018.11.16
住民基本台帳人口,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2020.04.01
年齢別住民基本台帳人口,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2020.04.01
町別住民基本台帳人口,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2018.11.16
本籍人口,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2019.10.01
外国人登録者数,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2020.03.31
労働力状態（男女別15歳以上人口）,越前市統計年鑑の情報です。, ,,情報政策課「越前市統計年鑑」,2015.03.26
